image,phase,ref_r,ref_g,ref_b,gain_r,gain_g,gain_b,reference_px,clipped_after,green_fraction,green_largest_blob_px,sha256
img_007544.jpg,floating,160.0,139.0,169.0,1.1438,0.9784,0.6036,1290819,0.012182,0.000109,13,5ad3bf3f449268aa2c58841eeba42a40223a749fcabcf172846e254f9338f296
img_007604.jpg,floating,152.0,131.0,159.0,1.2039,1.0382,0.6415,1233098,0.016648,0.000682,54,00be5eb46865dc2bea158e7da8a428a3042464b9f58cd0be644c737b7a155ca2
img_007664.jpg,floating,143.0,124.0,152.0,1.2797,1.0968,0.6711,1152819,0.026155,0.001461,140,5d4b098f962857c061990e0047de9aa12ed7a6b01b93762c1b1d93319c1e27e4
img_007724.jpg,floating,136.0,119.0,149.0,1.3456,1.1429,0.6846,1108662,0.036871,0.003322,235,92253ef4c6263c701b50abfb99fe50464e972fc5a46074a552a2087c6ee1a1d4
img_007784.jpg,floating,134.0,118.0,146.0,1.3657,1.1525,0.6986,1100323,0.042256,0.001915,206,6dd4d92ed05475bb6c3f0db59125ed1fcef981301734bdf3c0e8ebb7585850be
img_007844.jpg,floating,133.0,117.0,146.0,1.3759,1.1624,0.6986,1096429,0.049136,0.002717,389,65431d2ee3ad255b84a5ce091a7c0909d50e775ffa64dbe864d0e4dfd9c6025d
img_007904.jpg,floating,142.0,124.0,155.0,1.2887,1.0968,0.6581,997035,0.040495,0.004537,223,50a84b2ccb0c13385b3c19ce12f23efd81640c315de91c150c1ebc4c4470ed9d
img_007964.jpg,floating,152.0,131.0,162.0,1.2039,1.0382,0.6296,1007586,0.028371,0.003805,324,760a719de2ab94c918bb03984b0e09a4442dec704125552bdd77aadc4bdb53a7
img_008024.jpg,floating,160.0,138.0,169.0,1.1438,0.9855,0.6036,1000398,0.018389,0.004513,803,b7403112524db939ccbfe8ed103359d84d253eaea23381b8a723ed48036ddd81
img_008084.jpg,floating,168.0,146.0,177.0,1.0893,0.9315,0.5763,1045402,0.009928,0.002717,379,e579b323df000949be7d6d51711fc665484ab13e873c3165f18efa036f9d9ee7
img_008144.jpg,floating,168.0,146.0,176.0,1.0893,0.9315,0.5795,1055870,0.010133,0.002242,231,2782a5e1b6f0c0ed51175fcfd2ad8f4d51dcf1c455a9b173c9ce1af84fe47ef8
img_008204.jpg,floating,157.0,136.0,166.0,1.1656,1.0,0.6145,1056366,0.023391,0.003075,571,864750d8671176a7c43dd38ce70fa7f4de249539876cfeb2786d8e05cdc02a7d
img_008264.jpg,floating,148.0,127.0,158.0,1.2365,1.0709,0.6456,1084011,0.032773,0.001759,277,83adacda89456635a687e8efa167d4b0eae290f88da3c957b09b9eba3807ce2a
img_008324.jpg,floating,146.0,126.0,157.0,1.2534,1.0794,0.6497,1151715,0.035076,0.001016,197,99b4ff5ab9a36e1ea1d278c4467c24f4a29cbabda56157c1b02804e32a54cb07
img_008384.jpg,floating,148.0,127.0,158.0,1.2365,1.0709,0.6456,1151741,0.032634,0.001493,497,cc17ccf44a105848147b65f092c9403c3e3e6fe5c68dd34eee39a412b3fd8f56
img_008444.jpg,floating,154.0,131.0,161.0,1.1883,1.0382,0.6335,1118623,0.026902,0.001349,130,11d3446e4eefa8a959105d918410ad3237b3ab8e3d97afb400a33948febf38b2
img_008504.jpg,floating,163.0,139.0,168.0,1.1227,0.9784,0.6071,1119596,0.015657,0.001591,175,6464327c782cb7290c67f5de1a193fe3f5677481c519f42d96ade53d08abc926
img_008564.jpg,floating,173.0,149.0,176.0,1.0578,0.9128,0.5795,1108820,0.005962,0.001024,190,54c5863aa1497146976f622ffe8c2bc331c5fcaaed0ae84e2611097b78c526c0
img_008624.jpg,floating,182.0,157.0,183.0,1.0055,0.8662,0.5574,1134931,0.001837,0.000894,62,9810af0aabffeb30a6aa94210a63e4eb88a4e989198e3df9a344ab905eda5132
img_008684.jpg,floating,186.0,163.0,186.0,0.9839,0.8344,0.5484,1181553,0.0,0.000485,40,848ca134602467dcaf4a87a93918544a94fa8d10deb10bcd9dcaf9e0d0831e73
img_008744.jpg,floating,188.0,165.0,188.0,0.9734,0.8242,0.5426,1238494,0.0,0.000353,57,442160825f853887568c2549837a77c59631d327ab854ed12615f25d70d68642
img_008805.jpg,floating,189.0,166.0,189.0,0.9683,0.8193,0.5397,1260379,0.0,0.000237,19,25bf97876ba7db6caa4c559d34ec4d01081b9225e6da5a50f63bf57373e4b9a8
img_008865.jpg,floating,190.0,166.0,189.0,0.9632,0.8193,0.5397,1270187,0.0,0.000268,28,4e247f94932f139e9732a599672eaa19522d594c9e806c46ebe6470286863be2
img_008925.jpg,floating,190.0,168.0,190.0,0.9632,0.8095,0.5368,1278597,0.0,0.000151,36,f6d3f91a402d85fdaa1140477fa4a4e90b64792d0b177cc7f5b5fa9a15663aac
img_008986.jpg,floating,190.0,169.0,192.0,0.9632,0.8047,0.5312,1285963,0.0,8.6e-05,9,6ab1f5ca05df5f7edfa48a4b88cd2cfcfdcbee3c01d89d28e3416d3becb2e6da
img_009046.jpg,floating,189.0,169.0,192.0,0.9683,0.8047,0.5312,1299071,0.0,6.1e-05,8,f976e3ea3a963d1e1cfc786b2672d4128a92d3b10ef221c72b88b9524e664285
img_009106.jpg,floating,187.0,167.0,189.0,0.9786,0.8144,0.5397,1305653,0.0,4.1e-05,10,d7cfebaf372afab1848d745a3d9715cea1ab01c9c7d3ca9ef8055ef87d95265d
img_009166.jpg,floating,185.0,166.0,193.0,0.9892,0.8193,0.5285,1294772,0.0,9e-05,15,a3d967df2cafe1ce299d52416a61c18d689b4a9a9d4395d898a302533e2e6a28
img_009226.jpg,floating,185.0,167.0,192.0,0.9892,0.8144,0.5312,1298925,0.0,5.8e-05,8,11063432438168f12172c2c8b9be53ca542bccfa2920a1c7e522d8655bde393a
img_009287.jpg,floating,186.0,168.0,193.0,0.9839,0.8095,0.5285,1304002,0.0,4.6e-05,8,0c9aef8c4f5615727a07b0d0cff2abb7d0ec7138a7adec7902b7a7bd1d607371
img_009347.jpg,floating,185.0,167.0,190.0,0.9892,0.8144,0.5368,1312222,0.0,4.5e-05,10,65da6de0da08e9396b01639912a64dc2733001c10c06b6626a892009405ead81
img_009407.jpg,floating,185.0,167.0,187.0,0.9892,0.8144,0.5455,1318071,0.0,3.8e-05,9,711629b723797614abc03250a4dec843b90755708b2893f06942284858b270c9
img_009469.jpg,floating,187.0,168.0,189.0,0.9786,0.8095,0.5397,1315313,0.0,3.1e-05,7,f1ac21e9f9787ae885f26b7d88dadf294626bb84cf26e933b7df9a61f72f78ee
img_009529.jpg,floating,189.0,170.0,192.0,0.9683,0.8,0.5312,1315131,0.0,3e-05,10,cc28ca206bd712ff5667df58f4bc733eb94473f2ad1697967dec482c0ab0cf50
img_009589.jpg,floating,189.0,171.0,192.0,0.9683,0.7953,0.5312,1315818,0.0,2e-05,5,88af90ae0c5834f7db5683220a40ca804c09134fe476267555e3e02dcebbfcfb
img_009650.jpg,floating,190.0,172.0,192.0,0.9632,0.7907,0.5312,1316811,0.0,2.2e-05,5,b0b20f6274d1cb8ce91ea72440464d39cd5a1f05bed28d4706052baeb899fc6a
img_009710.jpg,floating,191.0,173.0,192.0,0.9581,0.7861,0.5312,1313384,0.0,1.2e-05,9,e2a9f90b922ecffaeb861446966c2692e90767aa50e0e9fe2956f1b27c997418
img_009770.jpg,floating,192.0,174.0,192.0,0.9531,0.7816,0.5312,1312459,0.0,2.7e-05,8,d0df9c734b9640901f5d7fab6deda397dda99d4f38f43c681376abc135bd1366
img_009832.jpg,floating,194.0,176.0,194.0,0.9433,0.7727,0.5258,1315354,0.0,1.4e-05,8,3a103b85c164c6cfbf34b0362775bdd6cd0e6b67073b58c96258756584eb193d
img_009892.jpg,floating,195.0,177.0,197.0,0.9385,0.7684,0.5178,1330872,0.0,6e-06,4,c70ab89468c22fb5992c0de7e8fc304d0c3db541226b313699ab42b6ac7085be
img_009952.jpg,floating,192.0,178.0,197.0,0.9531,0.764,0.5178,1259182,0.0,5e-06,2,bd0f6d77123a22d7f92268de5ebfd8b2df342878f56842b9f622d99102ef2021
img_010014.jpg,floating,192.0,178.0,196.0,0.9531,0.764,0.5204,1251136,0.0,5e-06,3,0eabb3843f72ddb5db7e72f4602c6378d8ec2c457e0f1c617508e826e67abf06
img_010074.jpg,floating,191.0,178.0,197.0,0.9581,0.764,0.5178,1261399,0.0,1e-06,1,f6d632fc66bfa02faf06ec4fcbff72539b9caeccc6b19e9d8bb1c73f0ce4476d
img_010134.jpg,floating,192.0,178.0,195.0,0.9531,0.764,0.5231,1248351,0.0,9e-06,5,1687b335dcb46aad25b1fcdf1a3f6408bb8b259d7209ee270f2bad203444da36
img_010196.jpg,floating,193.0,178.0,192.0,0.9482,0.764,0.5312,1221408,0.0,0.0,0,0d1d49c315a2109245a515d0282564d5016adc63b4de324f2daf599a62497f59
img_010256.jpg,floating,192.0,179.0,193.0,0.9531,0.7598,0.5285,1220490,0.0,0.0,0,0e104d4d622586cbdf3c4d417609d9c91ff5dc42165b3c688290b5a4487d5071
img_010316.jpg,floating,193.0,179.0,193.0,0.9482,0.7598,0.5285,1206097,0.0,0.0,0,ce3a78f98c6fb2d7fe9c92bb9be1d7f5377c6ea7496566d1c99b0430ac4d67ce
img_010378.jpg,floating,194.0,179.0,190.0,0.9433,0.7598,0.5368,1209020,0.0,1e-06,1,99afb24af8297af031e25fbffdb579a276387d42da5f114eb686d302b404d2b9
img_010438.jpg,floating,193.0,177.0,185.0,0.9482,0.7684,0.5514,1285381,0.0,2e-06,1,eb49168ee63aaf5e100dbc70ecb0d72ed70695d831b975a1a8114593326df53f
img_010498.jpg,floating,189.0,173.0,183.0,0.9683,0.7861,0.5574,1287514,0.0,9e-06,3,f3e778e3ed10a2ca4d7229e3d1c2850b99768ac90128ed0918e6f22958699dc2
img_010560.jpg,floating,187.0,170.0,180.0,0.9786,0.8,0.5667,1313889,0.0,7e-06,4,6ad5cf9e11159738eafe5f5899bf492e2d22e53f5abf34b346b6c4d2a706aae4
img_010620.jpg,floating,187.0,169.0,180.0,0.9786,0.8047,0.5667,1301713,0.0,1.2e-05,3,451a97bf24b106ffb0a0234b48bca8eb2a0011c1dc0d3b6ff1bd4ad71a7d22da
img_010680.jpg,floating,186.0,168.0,180.0,0.9839,0.8095,0.5667,1307479,0.0,2.3e-05,7,61b757fc6dfa9409119c330f70813b2aafb7c91406b92a03ccac27c160011c44
img_010741.jpg,floating,186.0,169.0,181.0,0.9839,0.8047,0.5635,1306821,0.0,2e-05,7,ac5ae62b7094ef7c327b8ade9600fa18a4e0de48359ce8a4c38699d3fae89c5a
img_010801.jpg,floating,186.0,168.0,182.0,0.9839,0.8095,0.5604,1292479,0.0,1.5e-05,4,2e692c324defc0cef3d7a295791c48f25dd69083eca55b1a860182b34fd8f46c
img_010861.jpg,floating,185.0,168.0,184.0,0.9892,0.8095,0.5543,1293976,0.0,1e-05,8,25f9e72f349488b64206b4c8b381bd55ca88599e10cb2b00cf06257aeb3e744c
img_010923.jpg,floating,183.0,167.0,186.0,1.0,0.8144,0.5484,1313427,2.4e-05,2.1e-05,8,c04587447c6332e53185a2b670d66d60c43b0e205df63d9c24e46f725c974aca
img_010983.jpg,floating,183.0,167.0,186.0,1.0,0.8144,0.5484,1326940,2.7e-05,1.9e-05,2,e942d37efd6117f7c7ac63c197dc03d9465c0062cba8955bb47a3f4a746b91be
img_011043.jpg,floating,183.0,168.0,186.0,1.0,0.8095,0.5484,1329785,2.3e-05,2.8e-05,5,62ef293cc1455e826aca83e6de4b6d9ac08474da71a699b41ae2b951ae07fed0
img_011104.jpg,floating,183.0,168.0,187.0,1.0,0.8095,0.5455,1344129,3.3e-05,2.2e-05,9,7c0a81e0ebd6511aa886a5f52d1918536f084abebfc3f8dcf4b2c010ee350312
img_011164.jpg,floating,186.0,171.0,190.0,0.9839,0.7953,0.5368,1362376,0.0,4e-06,2,dd2be86fc528d063428aab64cab8e0fbac632e132a0e79de5d2f46e9b0f0503d
img_011224.jpg,floating,188.0,175.0,196.0,0.9734,0.7771,0.5204,1360051,0.0,1e-06,1,f6ed67cf807664e7349b88bb0643f4a009a0b10a93ebbcdc3c0cbc171eb5dad5
img_011284.jpg,floating,192.0,180.0,200.0,0.9531,0.7556,0.51,1348335,0.0,1e-06,1,923ae378da87165c9496d649227360e09b86286ee26594147814e8d5612ff20f
img_011344.jpg,floating,196.0,186.0,203.0,0.9337,0.7312,0.5025,1303864,0.0,0.0,0,4bf1a41031e0b873c7a022a8547ea2a6ba978973944b6b0303b8411a74434e90
img_011404.jpg,floating,201.0,194.0,205.0,0.9104,0.701,0.4976,1254748,0.0,0.0,0,6e1ee8d6d0ea4a4f23608adbd8c951e2579b522f1395210b4b8a87b3a89d8e9a
img_011464.jpg,floating,202.0,195.0,206.0,0.9059,0.6974,0.4951,1249314,0.0,0.0,0,f013bfa42d028b3b6680474e96b20946458b9111642eb5115d40063ab89cec02
img_011524.jpg,floating,202.0,195.0,204.0,0.9059,0.6974,0.5,1163834,0.0,1e-06,1,804681fcaf03a47d7e5513eaf12a71e8ef9d9f62b54413258f7c14e36f297fbf
img_011585.jpg,floating,201.0,193.0,201.0,0.9104,0.7047,0.5075,1095224,0.0,0.0,0,88733df9a807b4e7ae26d8de67da05338231158ce0c898ba1a6c56bf533bf678
img_011645.jpg,floating,200.0,193.0,199.0,0.915,0.7047,0.5126,1091345,0.0,0.0,0,ce2cfdce50587b95dc1dd365b62ef6571bb0194be5d85c7c8572662736fe4b3f
img_011705.jpg,floating,200.0,192.0,199.0,0.915,0.7083,0.5126,1096386,0.0,0.0,0,f091fcc18c4fb685ce4ad1ddb72c252ad581e758e1d18109b53de2bc83777547
img_011765.jpg,floating,201.0,194.0,200.0,0.9104,0.701,0.51,1086793,0.0,0.0,0,ac9f302889ba78074fcab43a6996ca242d852813f64578768a92089f8f18e1e1
img_011825.jpg,floating,202.0,194.0,201.0,0.9059,0.701,0.5075,1085307,0.0,0.0,0,6728fee9bf70d7d46ad6a6fe3ad059a1d367b3f81d8bd8fede112ea93993f6c8
img_011885.jpg,floating,202.0,194.0,201.0,0.9059,0.701,0.5075,1080421,0.0,1e-06,2,19813c4bd6164545627efcf2570ee9f2d1a0774e3ef17fb857176cad7998ff59
img_011945.jpg,floating,203.0,194.0,200.0,0.9015,0.701,0.51,1071278,0.0,0.0,0,2fa8a9647df7e4b57b622d2499b8a30d9f2125dbcc2200865914609804927fa0
img_012005.jpg,floating,202.0,194.0,200.0,0.9059,0.701,0.51,1055455,0.0,0.0,0,0873af17597d138f3ec2452c006785f62bbaf43b0a267d0948faa4ca61c4e485
img_012065.jpg,floating,202.0,194.0,200.0,0.9059,0.701,0.51,1044063,0.0,1e-06,2,cddce12a25c6d2efbe41a112597f67d1b2728e8a41e2afc90ef7c9550c21e42b
img_012125.jpg,floating,202.0,194.0,200.0,0.9059,0.701,0.51,1021367,0.0,0.0,0,d0daad99b4eb20201dc60020a4cb0bdcdc7beb653b9134ec6c5fa9fdbf0b79c3
img_012185.jpg,floating,203.0,194.0,201.0,0.9015,0.701,0.5075,992757,0.0,0.0,0,4a01c63185f179fc3fdc89f57a8ec33148c6991eae86b3d7989d8dec8c0e370a
img_012245.jpg,floating,203.0,194.0,202.0,0.9015,0.701,0.505,958782,0.0,4e-06,2,412c460c7dd7df2855021645ba5ac878cbd06713eda9f3f1e0278b9e6ebb7f70
img_012305.jpg,floating,203.0,194.0,202.0,0.9015,0.701,0.505,936011,0.0,6e-06,5,8904f2afb6c829e5aca2fbfdb7d004506160c62e8a9bf01a0e0aac137ff27e9a
img_012365.jpg,floating,202.0,194.0,201.0,0.9059,0.701,0.5075,920582,0.0,8e-06,2,1d5b2e957f5f939dfa9f439013168e094620c6c41c30e18c1b30ea4809cca9fc
img_012425.jpg,floating,202.0,194.0,202.0,0.9059,0.701,0.505,899023,0.0,1.2e-05,4,7d52de1be2df56969ef25925bea72ba936ea7b19900abab179c1c42d71fec470
img_012485.jpg,floating,203.0,195.0,203.0,0.9015,0.6974,0.5025,872132,0.0,7e-06,3,c962c5b0d2b518fc23a3df0b1c970ec04280d2169c5c2ee033d0b9dd40ed5093
img_012545.jpg,floating,202.0,194.0,202.0,0.9059,0.701,0.505,871803,0.0,1e-05,3,40a906916c4fae7de1c23dd29b7aa98f8b14b10b6d24ef57dcc29970800d646d
img_012605.jpg,floating,202.0,194.0,203.0,0.9059,0.701,0.5025,870454,0.0,1e-05,5,09c4f150d5cd80f3b2a5e2a466b066730b2949fb7eb3f7826de0daddb2cb5813
img_012665.jpg,floating,199.0,191.0,198.0,0.9196,0.712,0.5152,963169,0.0,1.4e-05,5,390e35662aa2311d7a848eea92613ebf4a38d4623754177803dcd16a35114e53
img_012725.jpg,floating,205.0,197.0,205.0,0.8927,0.6904,0.4976,759160,0.0,7e-06,4,b18e3e00c7451173fe06e8c4fa8973aae71dd2f864847f741fd7dcaa885d9b82
img_012785.jpg,floating,204.0,197.0,205.0,0.8971,0.6904,0.4976,857990,0.0,5e-06,2,e037c194fd3deefe0fe5b5230eb6715c6d24832d3dba516f542a953fd7916bd2
img_012845.jpg,floating,206.0,198.0,206.0,0.8883,0.6869,0.4951,755982,0.0,2.2e-05,16,2253526ce47d2449dcd67321f8c66f26430de28d6634b52d11a249dffb2f1a54
img_012905.jpg,floating,202.0,195.0,203.0,0.9059,0.6974,0.5025,823678,0.0,8e-06,2,08bf03ba83ae6464f49743a316b29898ccf0fb62073ca560d7c86feec2a8e819
img_012965.jpg,floating,198.0,189.0,196.0,0.9242,0.7196,0.5204,1048482,0.0,1.7e-05,4,935625ceb225cbb431e710bd3a131039c1480bc3ae85a79f95111862e719b537
img_013025.jpg,floating,198.0,189.0,193.0,0.9242,0.7196,0.5285,1220314,0.0,8e-06,4,557464ff77d1eb42b21bc732ba40b180c0b73377a73d7d2d3828ff95c8a807dc
img_013085.jpg,floating,198.0,189.0,193.0,0.9242,0.7196,0.5285,1295458,0.0,1e-06,1,0f1b12b018f20fa479d30e9ae039a5056980186695ac6cc8e05dd36d650a8d16
img_013145.jpg,floating,198.0,189.0,193.0,0.9242,0.7196,0.5285,1294738,0.0,0.0,0,336f8650d1ee43106c35927c42c3e531f5a745e42b28c51b78a692e506d8fd2a
img_013205.jpg,floating,198.0,190.0,194.0,0.9242,0.7158,0.5258,1155418,0.0,1.2e-05,4,eaf7380cf7c8f140115221195224cfb0a37694f97b84b90c7030ef3dbadff45d
img_013265.jpg,floating,198.0,190.0,196.0,0.9242,0.7158,0.5204,1054509,0.0,3.7e-05,12,7691ef3074840e7583b7f013d2994337ab6dfe403f436ddee80bc888f510edaf
img_013325.jpg,floating,198.0,189.0,194.0,0.9242,0.7196,0.5258,1184744,0.0,1.7e-05,4,0acfb93a9c3af8bb781c732029048fb980f5b9e43ccbef39c4e520a82c286844
img_013385.jpg,floating,203.0,195.0,202.0,0.9015,0.6974,0.505,863382,0.0,2.7e-05,9,60b99e6270f39bf6589caee98b09b442e62446cd33dae7f104be70dd442017b6
img_013445.jpg,floating,209.0,201.0,216.0,0.8756,0.6766,0.4722,797224,0.0,2.2e-05,6,a1d55daccf60b0998629accfc44eee7209329e1ee9f207017f7ea04b4d6d3630
img_013505.jpg,floating,209.0,198.0,216.0,0.8756,0.6869,0.4722,958054,0.0,4.9e-05,12,fa99f462591e6658b5ca95bbefcd7b6f536011436526bf8a4eccfad7c9e01971
img_013565.jpg,floating,209.0,199.0,217.0,0.8756,0.6834,0.47,961031,0.0,1.3e-05,6,980afd30599b99dc7dd184c5363985aa8a53f0dbc5068eddbb01c2fa4045c37c
img_013625.jpg,floating,209.0,199.0,217.0,0.8756,0.6834,0.47,962374,0.0,3e-05,7,a13145a3fde6fb4a349efc1e75c1cf586c75e47c14dbd66186354054d819c46c
img_013685.jpg,floating,206.0,194.0,212.0,0.8883,0.701,0.4811,999202,0.0,6.5e-05,15,25a0d4f0be5011ae62037d97bbf7fff9f38e69e0037ce3e170d807d85de70ded
img_013745.jpg,floating,199.0,186.0,198.0,0.9196,0.7312,0.5152,1118295,0.0,3.6e-05,7,a4e0ebed6ee9bb273b2040b23c3886f2a1d1f710e5bffabf9980af65e20ce174
img_013805.jpg,floating,199.0,183.0,195.0,0.9196,0.7432,0.5231,1197467,0.0,2.4e-05,11,59d42efb349ce9fb3dd925e5528f6e9dedb3aaac61d96346fd9655c2791ba4e2
img_013865.jpg,floating,198.0,184.0,192.0,0.9242,0.7391,0.5312,1292895,0.0,9e-06,5,673babc333a16a0a1ff75690de89d9b2dad046f9302d37be561bd3576cb10845
img_013925.jpg,floating,198.0,184.0,192.0,0.9242,0.7391,0.5312,1276074,0.0,4e-06,4,cdc65b8080d2beba925a8f18b8f8d7398ffe6806bd667763cf55a65000e4a187
img_013985.jpg,floating,199.0,183.0,193.0,0.9196,0.7432,0.5285,1257627,0.0,4e-06,1,f6c3b26fdeaee7aed2ca0e658ac6f121761c6a6a3735fed9a6319a447472308a
img_014045.jpg,floating,198.0,183.0,192.0,0.9242,0.7432,0.5312,1265347,0.0,1.2e-05,5,bde47de5e36b6bdddf036f0a63d07586c3fd045c7ec32d29182b27c95b9f993b
img_014105.jpg,floating,198.0,183.0,193.0,0.9242,0.7432,0.5285,1256201,0.0,7e-06,4,2b17328bbad3551350b30edfbbdbcdd07d8d6a3b7c63d6eec8e24bf6bf39af8d
img_014165.jpg,floating,198.0,182.0,194.0,0.9242,0.7473,0.5258,1221908,0.0,3.9e-05,7,ebfb962877317803fe141572cc152c5964d1cf93bb049552a9f293dd295fb9ca
img_014225.jpg,floating,198.0,183.0,192.0,0.9242,0.7432,0.5312,1258451,0.0,1.4e-05,7,9b22e1d96c434755385eb574f1c5f9c828d25bd0c0e5425556397699bada5a41
img_014285.jpg,floating,198.0,183.0,192.0,0.9242,0.7432,0.5312,1264996,0.0,1.3e-05,9,165931e25391d87f7e94717214c1028f68ef312343ff1a54233ca85c69f23584
img_014345.jpg,floating,198.0,183.0,192.0,0.9242,0.7432,0.5312,1264666,0.0,1.7e-05,3,9957f7fcb3cd6d1b5c8fa5278edadc9fb4f4bfda84eb4d61b2eff5243a83b1ef
img_014406.jpg,floating,198.0,183.0,192.0,0.9242,0.7432,0.5312,1257263,0.0,2.2e-05,6,d3c324e9b4671918fa89a471f58583ef7adfe81da31e941d514ea98cdef84a8f
img_014466.jpg,floating,198.0,184.0,193.0,0.9242,0.7391,0.5285,1259674,0.0,5.4e-05,30,65223bb24e0eff43bd53c3a62d5a6d7aebe9d21620eb41cc7ea4bb388b88406b
img_014528.jpg,floating,199.0,186.0,194.0,0.9196,0.7312,0.5258,1219889,0.0,2.8e-05,8,0580fd95bca75eb4218fb5a7f068a6b96b9340762cb8a3c5b6ebf688defc92e8
img_014588.jpg,floating,199.0,187.0,196.0,0.9196,0.7273,0.5204,1205015,0.0,3.5e-05,11,d956c4bb8ec7b259e5d06fb12ea23cc94c0b5d0ddc29a8933260ca6dc151f60a
img_014648.jpg,floating,198.0,186.0,195.0,0.9242,0.7312,0.5231,1206398,0.0,9.3e-05,8,bf14c9002bc34fa5ac4ab1c39f80d75baa5aa495ab52f594e455adb8d6193102
img_014708.jpg,floating,197.0,185.0,195.0,0.9289,0.7351,0.5231,1218452,0.0,9.2e-05,11,8b57992d95d40a7227898837baec4436a557ccb81ebef3f3139b8cf7ebd015f9
img_014768.jpg,floating,200.0,192.0,209.0,0.915,0.7083,0.488,1138187,0.0,0.000119,10,e91f9a29a2091108a3749260a869790466f765488c65eb22a90778c4b69052ca
img_014829.jpg,floating,206.0,198.0,213.0,0.8883,0.6869,0.4789,982073,0.0,8.5e-05,26,326594b2bb93dcee4faa7f369936fbb2154dff5239e2bed603daaad9207aeff8
img_014891.jpg,floating,208.0,198.0,212.0,0.8798,0.6869,0.4811,952446,0.0,2.8e-05,6,9ba91cbb80fc2741791e45406bf763a8d1fbe19fe8c8536b3f72d892f3646ded
img_014952.jpg,floating,207.0,197.0,212.0,0.8841,0.6904,0.4811,948824,0.0,5.1e-05,7,66e6108560e702c986a6f98e90e3832b5ac4023a23f1604003194f7ffd266572
img_015013.jpg,floating,206.0,196.0,211.0,0.8883,0.6939,0.4834,961619,0.0,4.3e-05,5,7e6edec58d43ee1e15b77a090b8d700faa9ee5a743d00ba588b93d65890c5fa7
img_015080.jpg,floating,206.0,196.0,211.0,0.8883,0.6939,0.4834,927210,0.0,2.6e-05,8,e2b8033ac894c779258d5d91ce7b713e698c8317f1a503a9a07a8dc31604dd19
img_015143.jpg,floating,205.0,195.0,210.0,0.8927,0.6974,0.4857,924855,0.0,4.1e-05,13,378c13a0c670ff411d36dcfe5de4880848dc79bbe31b7cb31a664dd32b275c82
img_015203.jpg,floating,202.0,192.0,209.0,0.9059,0.7083,0.488,1030043,0.0,5.5e-05,7,370f3a47f874ff50d969da382a2ce6365d69dc31d51086238be22337bc463d2f
img_015263.jpg,floating,200.0,190.0,207.0,0.915,0.7158,0.4928,1134341,0.0,0.000137,21,be6a5e2b9bed712480ce0eca3be1898ab92e06a183a1f479217108c9de256dd3
img_015323.jpg,floating,200.0,189.0,205.0,0.915,0.7196,0.4976,1191055,0.0,6.7e-05,14,eddfad97335148144c3e6608cdde8b3733efe517c089b83c947f05cce420f1d0
