image,segment_id,spatial_block,split
img_008024.jpg,seg_0017,821:-1977,train
img_008084.jpg,seg_0017,821:-1977,train
img_008144.jpg,seg_0017,820:-1977,train
img_008204.jpg,seg_0018,820:-1978,validation
img_008264.jpg,seg_0018,820:-1978,validation
img_008324.jpg,seg_0018,820:-1978,validation
img_008384.jpg,seg_0018,820:-1978,validation
img_008444.jpg,seg_0018,820:-1978,validation
img_008504.jpg,seg_0018,820:-1979,validation
img_008564.jpg,seg_0018,820:-1979,validation
img_008624.jpg,seg_0019,820:-1979,validation
img_008684.jpg,seg_0019,820:-1979,validation
img_008744.jpg,seg_0019,820:-1979,validation
img_008805.jpg,seg_0019,820:-1979,validation
img_008865.jpg,seg_0020,820:-1980,test
img_008925.jpg,seg_0020,820:-1980,test
img_008986.jpg,seg_0020,820:-1980,test
img_009046.jpg,seg_0020,820:-1980,test
img_009106.jpg,seg_0020,820:-1980,test
img_009166.jpg,seg_0021,819:-1981,train
img_009226.jpg,seg_0022,819:-1981,train
img_009287.jpg,seg_0022,819:-1981,train
img_009347.jpg,seg_0022,819:-1981,train
img_009407.jpg,seg_0022,819:-1982,train
img_009469.jpg,seg_0022,819:-1982,train
img_009529.jpg,seg_0022,819:-1982,train
img_009589.jpg,seg_0022,819:-1982,train
img_009650.jpg,seg_0022,819:-1983,train
img_009710.jpg,seg_0022,819:-1983,train
img_009770.jpg,seg_0022,819:-1983,train
img_009832.jpg,seg_0023,819:-1983,train
img_009892.jpg,seg_0023,818:-1984,train
img_009952.jpg,seg_0023,818:-1984,train
img_010014.jpg,seg_0023,818:-1984,train
img_010074.jpg,seg_0023,818:-1984,train
img_010134.jpg,seg_0023,818:-1984,train
img_010196.jpg,seg_0024,818:-1985,test
img_010256.jpg,seg_0024,818:-1985,test
img_010316.jpg,seg_0024,818:-1985,test
img_010378.jpg,seg_0024,818:-1985,test
img_010438.jpg,seg_0025,818:-1986,train
img_010498.jpg,seg_0025,818:-1986,train
img_010560.jpg,seg_0025,818:-1986,train
img_010620.jpg,seg_0025,817:-1986,train
img_010680.jpg,seg_0025,817:-1986,train
img_010741.jpg,seg_0026,817:-1987,test
img_010801.jpg,seg_0026,817:-1987,test
img_010861.jpg,seg_0026,817:-1987,test
img_010923.jpg,seg_0026,817:-1987,test
img_010983.jpg,seg_0027,817:-1988,validation
img_011043.jpg,seg_0028,817:-1988,validation
img_011104.jpg,seg_0028,817:-1988,validation
img_011164.jpg,seg_0028,817:-1988,validation
img_011224.jpg,seg_0029,817:-1989,train
img_011284.jpg,seg_0029,816:-1989,train
img_011344.jpg,seg_0029,816:-1989,train
img_011404.jpg,seg_0029,816:-1989,train
img_011464.jpg,seg_0030,816:-1990,validation
img_011524.jpg,seg_0030,816:-1990,validation
img_011585.jpg,seg_0030,816:-1990,validation
img_011645.jpg,seg_0031,816:-1990,validation
img_011705.jpg,seg_0032,816:-1991,train
img_011765.jpg,seg_0032,816:-1991,train
img_011825.jpg,seg_0032,816:-1991,train
img_011885.jpg,seg_0032,816:-1991,train
img_011945.jpg,seg_0032,816:-1992,train
img_012005.jpg,seg_0033,815:-1992,validation
img_012065.jpg,seg_0033,815:-1992,validation
img_012125.jpg,seg_0033,815:-1992,validation
img_012185.jpg,seg_0034,815:-1993,train
img_012245.jpg,seg_0035,815:-1993,train
img_012305.jpg,seg_0035,815:-1993,train
img_012365.jpg,seg_0035,815:-1993,train
img_012425.jpg,seg_0035,815:-1994,train
img_012485.jpg,seg_0035,815:-1994,train
img_012545.jpg,seg_0035,815:-1994,train
img_012605.jpg,seg_0035,815:-1994,train
img_012665.jpg,seg_0035,815:-1994,train
img_012725.jpg,seg_0036,814:-1995,validation
img_012785.jpg,seg_0036,814:-1995,validation
img_012845.jpg,seg_0037,814:-1995,validation
img_012905.jpg,seg_0037,814:-1995,validation
img_012965.jpg,seg_0037,814:-1995,validation
img_013025.jpg,seg_0037,814:-1995,validation
img_013085.jpg,seg_0037,814:-1995,validation
img_013145.jpg,seg_0037,814:-1995,validation
img_013205.jpg,seg_0037,814:-1995,validation
img_013265.jpg,seg_0038,815:-1995,train
img_013325.jpg,seg_0038,815:-1995,train
img_013385.jpg,seg_0038,815:-1995,train
img_013445.jpg,seg_0039,815:-1995,train
img_013505.jpg,seg_0039,815:-1995,train
img_013565.jpg,seg_0039,815:-1995,train
img_013625.jpg,seg_0039,815:-1995,train
img_013685.jpg,seg_0039,815:-1995,train
img_013745.jpg,seg_0039,815:-1995,train
img_013805.jpg,seg_0040,815:-1996,test
img_013865.jpg,seg_0040,815:-1996,test
img_013925.jpg,seg_0040,815:-1996,test
img_013985.jpg,seg_0040,815:-1996,test
img_014045.jpg,seg_0041,815:-1996,test
img_014105.jpg,seg_0041,815:-1996,test
img_014165.jpg,seg_0041,815:-1996,test
img_014225.jpg,seg_0041,815:-1996,test
img_014285.jpg,seg_0042,816:-1996,train
img_014345.jpg,seg_0042,816:-1995,train
img_014406.jpg,seg_0042,816:-1995,train
img_014466.jpg,seg_0042,816:-1995,train
img_014528.jpg,seg_0042,816:-1995,train
img_014588.jpg,seg_0042,816:-1995,train
img_014648.jpg,seg_0043,816:-1995,train
img_014708.jpg,seg_0043,816:-1995,train
img_014768.jpg,seg_0043,816:-1995,train
img_014829.jpg,seg_0043,816:-1995,train
img_014891.jpg,seg_0043,816:-1995,train
img_014952.jpg,seg_0043,816:-1995,train
img_015013.jpg,seg_0043,816:-1995,train
img_015080.jpg,seg_0043,816:-1995,train
img_015143.jpg,seg_0043,817:-1995,train
img_015203.jpg,seg_0043,817:-1995,train
img_015263.jpg,seg_0044,817:-1995,train
img_015323.jpg,seg_0044,817:-1995,train
img_015383.jpg,seg_0044,817:-1995,train
img_015443.jpg,seg_0044,817:-1995,train
img_015504.jpg,seg_0044,817:-1995,train
img_015564.jpg,seg_0044,817:-1995,train
img_015624.jpg,seg_0044,817:-1995,train
img_015684.jpg,seg_0044,817:-1995,train
img_015744.jpg,seg_0044,817:-1995,train
img_015804.jpg,seg_0044,817:-1995,train
img_015884.jpg,seg_0045,817:-1995,train
img_015955.jpg,seg_0045,817:-1995,train
img_016023.jpg,seg_0045,817:-1995,train
img_016083.jpg,seg_0045,817:-1995,train
img_016143.jpg,seg_0045,818:-1995,train
img_016203.jpg,seg_0045,818:-1995,train
img_016263.jpg,seg_0045,818:-1995,train
img_016343.jpg,seg_0045,818:-1995,train
img_016403.jpg,seg_0045,818:-1995,train
img_016463.jpg,seg_0045,818:-1995,train
img_016523.jpg,seg_0046,818:-1995,train
img_016583.jpg,seg_0046,818:-1995,train
img_016643.jpg,seg_0046,818:-1995,train
img_016704.jpg,seg_0046,818:-1995,train
img_016764.jpg,seg_0046,818:-1995,train
img_016824.jpg,seg_0046,818:-1995,train
img_016884.jpg,seg_0046,818:-1995,train
img_016944.jpg,seg_0046,818:-1995,train
img_017004.jpg,seg_0046,818:-1995,train
img_017064.jpg,seg_0046,818:-1995,train
img_017124.jpg,seg_0047,818:-1995,train
img_017184.jpg,seg_0047,818:-1995,train
img_017244.jpg,seg_0047,818:-1995,train
img_017304.jpg,seg_0047,819:-1995,train
img_017364.jpg,seg_0047,819:-1995,train
img_017424.jpg,seg_0047,819:-1995,train
img_017484.jpg,seg_0047,819:-1995,train
img_017544.jpg,seg_0047,819:-1995,train
img_017604.jpg,seg_0047,819:-1995,train
img_017664.jpg,seg_0047,819:-1995,train
img_017724.jpg,seg_0048,819:-1995,train
img_017784.jpg,seg_0048,819:-1995,train
img_017844.jpg,seg_0048,819:-1995,train
img_017904.jpg,seg_0048,819:-1995,train
img_017965.jpg,seg_0048,819:-1995,train
img_018046.jpg,seg_0048,819:-1995,train
img_018106.jpg,seg_0048,819:-1995,train
img_018166.jpg,seg_0048,819:-1995,train
img_018226.jpg,seg_0048,819:-1995,train
img_018287.jpg,seg_0048,819:-1994,train
img_018347.jpg,seg_0049,819:-1994,train
img_018407.jpg,seg_0049,819:-1994,train
img_018467.jpg,seg_0049,820:-1995,train
img_018528.jpg,seg_0049,820:-1995,train
img_018588.jpg,seg_0049,820:-1995,train
img_018648.jpg,seg_0049,820:-1995,train
img_018708.jpg,seg_0049,820:-1995,train
img_018768.jpg,seg_0049,820:-1995,train
img_018828.jpg,seg_0049,820:-1995,train
img_018888.jpg,seg_0049,820:-1995,train
img_018948.jpg,seg_0050,820:-1995,train
img_019008.jpg,seg_0050,820:-1995,train
img_019068.jpg,seg_0050,819:-1995,train
img_019128.jpg,seg_0050,819:-1995,train
img_019188.jpg,seg_0050,819:-1995,train
img_019249.jpg,seg_0050,819:-1995,train
img_019313.jpg,seg_0050,819:-1995,train
img_019373.jpg,seg_0050,819:-1995,train
img_019433.jpg,seg_0050,819:-1995,train
img_019493.jpg,seg_0050,819:-1995,train
img_019553.jpg,seg_0051,819:-1995,train
img_019613.jpg,seg_0051,819:-1996,train
img_019693.jpg,seg_0051,819:-1996,train
img_019753.jpg,seg_0051,819:-1996,train
img_019813.jpg,seg_0051,819:-1996,train
img_019939.jpg,seg_0051,819:-1996,train
img_020000.jpg,seg_0051,819:-1996,train
img_020060.jpg,seg_0051,819:-1996,train
img_020121.jpg,seg_0051,819:-1996,train
img_020192.jpg,seg_0052,819:-1996,train
img_020252.jpg,seg_0052,819:-1996,train
img_020312.jpg,seg_0052,819:-1996,train
img_020372.jpg,seg_0052,819:-1996,train
img_020432.jpg,seg_0052,819:-1996,train
img_020492.jpg,seg_0052,819:-1996,train
img_020552.jpg,seg_0052,819:-1996,train
img_020612.jpg,seg_0052,819:-1996,train
img_020672.jpg,seg_0052,819:-1996,train
img_020732.jpg,seg_0052,819:-1996,train
img_020792.jpg,seg_0053,819:-1997,test
img_020852.jpg,seg_0053,819:-1997,test
img_020912.jpg,seg_0053,819:-1997,test
img_020972.jpg,seg_0053,819:-1997,test
img_021032.jpg,seg_0053,819:-1997,test
img_021092.jpg,seg_0053,819:-1997,test
img_021152.jpg,seg_0053,819:-1997,test
img_021228.jpg,seg_0053,819:-1997,test
img_021288.jpg,seg_0053,819:-1997,test
img_021348.jpg,seg_0053,819:-1997,test
img_021408.jpg,seg_0054,819:-1997,test
img_021501.jpg,seg_0055,819:-1998,train
img_021561.jpg,seg_0055,819:-1998,train
img_021622.jpg,seg_0055,819:-1998,train
img_021682.jpg,seg_0055,819:-1998,train
img_021742.jpg,seg_0055,818:-1998,train
img_021812.jpg,seg_0055,818:-1998,train
img_021872.jpg,seg_0055,818:-1998,train
img_021938.jpg,seg_0055,818:-1998,train
img_021998.jpg,seg_0055,818:-1999,train
img_022058.jpg,seg_0056,818:-1999,train
img_022125.jpg,seg_0056,818:-1999,train
img_022192.jpg,seg_0056,818:-1999,train
img_022256.jpg,seg_0056,818:-1999,train
img_022319.jpg,seg_0056,818:-1999,train
img_022379.jpg,seg_0056,818:-2000,train
img_022439.jpg,seg_0056,818:-2000,train
img_022501.jpg,seg_0056,818:-2000,train
img_022562.jpg,seg_0056,818:-2000,train
img_022622.jpg,seg_0056,818:-2000,train
img_022682.jpg,seg_0057,817:-2000,validation
img_022742.jpg,seg_0057,817:-2001,validation
img_022806.jpg,seg_0057,817:-2001,validation
img_022872.jpg,seg_0057,817:-2001,validation
img_022933.jpg,seg_0057,817:-2001,validation
img_022993.jpg,seg_0057,817:-2001,validation
img_023053.jpg,seg_0057,817:-2001,validation
img_023119.jpg,seg_0057,817:-2001,validation
img_023190.jpg,seg_0057,817:-2002,validation
img_023254.jpg,seg_0057,817:-2002,validation
img_023314.jpg,seg_0058,817:-2002,validation
img_023379.jpg,seg_0058,817:-2002,validation
img_023439.jpg,seg_0058,817:-2002,validation
img_023500.jpg,seg_0058,817:-2002,validation
img_023566.jpg,seg_0059,817:-2003,train
img_023626.jpg,seg_0059,816:-2003,train
img_023686.jpg,seg_0059,816:-2003,train
img_023746.jpg,seg_0059,816:-2003,train
img_023809.jpg,seg_0059,816:-2003,train
img_023869.jpg,seg_0059,816:-2003,train
img_023929.jpg,seg_0060,816:-2004,test
img_023991.jpg,seg_0060,816:-2004,test
img_024054.jpg,seg_0060,816:-2004,test
img_024114.jpg,seg_0060,816:-2004,test
img_024174.jpg,seg_0060,816:-2004,test
img_024235.jpg,seg_0060,816:-2004,test
img_024295.jpg,seg_0061,816:-2005,train
img_024355.jpg,seg_0061,816:-2005,train
img_024415.jpg,seg_0061,816:-2005,train
img_024475.jpg,seg_0061,816:-2005,train
img_024535.jpg,seg_0062,815:-2005,validation
img_024595.jpg,seg_0062,815:-2005,validation
img_024656.jpg,seg_0063,815:-2006,train
img_024716.jpg,seg_0063,815:-2006,train
img_024776.jpg,seg_0063,815:-2006,train
img_024836.jpg,seg_0063,815:-2006,train
img_024896.jpg,seg_0063,815:-2006,train
img_024956.jpg,seg_0064,815:-2007,validation
img_025016.jpg,seg_0064,815:-2007,validation
img_025076.jpg,seg_0064,815:-2007,validation
img_025136.jpg,seg_0065,815:-2007,validation
img_025196.jpg,seg_0065,815:-2007,validation
img_025256.jpg,seg_0065,815:-2007,validation
img_025316.jpg,seg_0066,815:-2008,train
img_025376.jpg,seg_0066,814:-2008,train
img_025436.jpg,seg_0066,814:-2008,train
img_025496.jpg,seg_0066,814:-2008,train
img_025556.jpg,seg_0066,814:-2008,train
img_025616.jpg,seg_0067,814:-2009,validation
img_025676.jpg,seg_0067,814:-2009,validation
